,coe,res,pvalue
pk_cjusdon't,-3.986745949,4.29E-19,0.549094272
ethnic2White,0.02547028,3.95E-17,0.549843502
pk_cjushouse,-0.454253892,-2.41E-16,0.550459634
maugaamerican samoa served as a senator in the senate.,-0.248558538,-9.73E-17,0.550696103
maugalawyer,NA,1.17E-16,0.552316302
maugai'm not sure,0.21266448,-7.39E-17,0.553203329
relig1_11_TEXTI just believe in god. Nothing else.,-1.141610492,-4.22E-16,0.553843687
pk_cjusus senator,NA,0.497496136,0.553843687
ethnic1nice,-0.043244942,1.13E-15,0.553923978
pk_germi don't know,0.032910178,-6.50E-16,0.553923978
ethnic2German Irish American,0.526119637,1.50E-15,0.553943561
pk_germwho?,2.441319218,-6.10E-17,0.553943561
mauganana,NA,-0.214879472,0.554017975
mauga2008,-0.209842049,-2.16E-16,0.554563134
ethnic2English--German,0.494499613,-2.35E-16,0.555054432
pk_germtransportation secretary,NA,-0.114975829,0.555054432
ethnic2 no,1.514342666,1.82E-17,0.555365495
pk_germprefer not to say,NA,-3.96E-17,0.555365495
ethnic1Latina: Argentina,0.849435437,0.09610078,0.556138348
pk_germgoverner,NA,-7.14E-16,0.556138348
"ethnic1Norwegian, Swedish, etc.",0.621810554,6.93E-17,0.55639262
pk_germidkk,NA,-0.099868411,0.55639262
mauganot sure,0.133837361,-0.165595506,0.556949299
maugaccffggh,NA,1.37E-16,0.557210865
maugavice president,0.735887214,9.66E-17,0.557639342
ethnic2ENGLISH,-0.618615698,0.181499511,0.558162281
pk_germtown counsel,NA,-2.38E-16,0.558162281
pk_cjuscant remember,-0.333771801,-9.01E-17,0.558224665
pk_cjuscongressman,-0.040998585,0.007993453,0.558474397
expretire,-0.024779829,1.44E-16,0.559200333
ethnic2South american,0.247007778,-1.96E-16,0.55950042
citizen2,NA,-2.90E-17,0.560245186
pk_cjusdr,NA,-0.011896983,0.560638498
pk_cjuscscs,NA,9.05E-17,0.56155576
gayadopt,0.009802691,-0.050357062,0.561677603
pk_cjussen  court,0.198766667,3.78E-17,0.561677603
ethnic1a mutt,-0.150530744,-0.051816976,0.561810868
pk_germangela who?,NA,-2.46E-16,0.561810868
ethnic1I am not sure honestly,-1.240405672,-0.015764217,0.562809982
pk_germgeneral,NA,0.049832732,0.562809982
health1,0.015930248,3.87E-16,0.562849455
pk_cjussupreme court chief of justice,0.091377823,-8.64E-17,0.562849455
"ethnic1Italian, Ukrainian, Irish, English, French",NA,0.031417168,0.563038636
pk_germgermany prime minster,0.505746775,0.074847138,0.563038636
relig1_11_TEXTChurch of Christ,-0.483391922,0.001398984,0.563732258
pk_cjusttyytdhg,NA,-4.79E-14,0.563732258
ethnic1very,0.301067922,-4.15E-16,0.563869768
pk_germnot sure.,NA,0.063759859,0.563869768
maugagovernor of american semoa,0.232184189,-4.16E-16,0.563889523
ethnic1Roman Catholic,0.694342676,0.249340589,0.564471721
pk_germleader in european nation,NA,-1.37E-17,0.564471721
ethnic1America,0.53118158,-3.53E-16,0.565958138
pk_germcan't remember,NA,-0.039596808,0.565958138
maugaembassy,0.639022328,0.013032337,0.567318511
mauga president of malawi,-1.931887442,0.042147321,0.567514027
ftwarren1,0.000128171,-4.79E-14,0.56785143
pk_cjusmain supreme court justice,NA,3.56E-16,0.56785143
maugamauga,0.222550668,-0.073685148,0.567951027
pk_cjusbcd__,-0.145691643,-0.023877303,0.567977667
groupid3a_bla,-0.028713484,-0.065137154,0.56903034
pk_cjus chief justice,0.794825078,-3.86E-17,0.569276616
maugagreat,-0.03940877,0.085563989,0.569862691
"ethnic2German, Welish",0.065193991,9.09E-17,0.572874859
pk_germyellow,NA,-9.40E-17,0.572874859
mauga1956,NA,-7.05E-18,0.572883122
ethnic1german-american,-0.302028763,0.196392584,0.573054103
pk_germdont care,NA,7.00E-16,0.573054103
ethnic2Henry,1.031068381,-4.83E-16,0.573516004
whites_7,-0.018169224,-2.38E-16,0.573516004
ethnic1Cape Verdean,0.391330302,-6.82E-17,0.57370858
pk_germchancellor or germany,NA,-0.2245958,0.57370858
maugafinancial,1.20370978,-0.06532776,0.57381346
maugagov. of samoa,NA,5.77E-16,0.574211646
ethnic2german,0.310344739,0.094212905,0.574261746
pk_germwhite house,-0.784374681,-0.10155235,0.574261746
pk_cjuscongress,0.121188372,0.063280938,0.574457012
maugalt. governor of america samoa,-0.559667989,2.99E-16,0.574481311
ethnic1good,-0.056444625,-1.37E-17,0.574952052
pk_germengland,-0.318282803,3.50E-16,0.574952052
pk_cjus0,0.75651656,1.60E-16,0.575357167
maugaprince,-0.476772916,1.60E-16,0.575530844
"ethnic1Austrian, English, Irish and Dutch.",0.292836972,0.05909271,0.575588401
pk_germchanceler of germany,-0.097453803,7.19E-16,0.575588401
maugabxbxb shz sh shzvzh z xbox zhzhz zuzhz zhzbzbz,NA,-5.38E-17,0.576130534
impeach1,0.01031226,0.010821878,0.57622435
pk_cjussuprem cort justic,NA,-4.56E-17,0.57622435
maugamayor of anytown,0.133863725,-2.74E-16,0.576374765
mauga2,-1.000905136,-0.173841374,0.576739751
maugagovernor of somoa,-0.014203434,-0.048333644,0.577435294
ethnic1DOnt know,-0.026632786,-0.414111481,0.578458191
pk_germchencellor of germany,-0.337539358,2.08E-16,0.578458191
maugapresidential advisor,-0.927430669,-2.16E-16,0.578804128
relig1_11_TEXTSpiritual Christian,-0.569027771,2.05E-16,0.578946762
pk_germ..............................,NA,4.98E-18,0.578946762
groupid2a_bla,-0.275570663,-3.72E-16,0.579128504
"ethnic2German, French Canadian, American Indian",-0.433526413,-3.19E-16,0.579610162
pk_germworker,NA,0.050537465,0.579610162
maugapresident of pure rico,-0.085182147,1.33E-16,0.579918011
ethnic1West Indian,-1.689870808,0.089663187,0.580905757
pk_germp.m.,-0.045185916,3.54E-17,0.580905757
pk_cjusdrf,NA,-0.002086313,0.581309873
maugacogress,NA,-0.029314517,0.581517341
ethnic1portugues,-0.211789381,9.62E-17,0.581532427
pk_germkuy,NA,-0.133235638,0.581532427
ethnic1na,1.110968755,0.146405396,0.581597327
pk_germhigh post,NA,2.41E-16,0.581597327
maugaunaware,0.097831863,1.64E-16,0.581623264
ethnic2cuban,0.45860233,0.386690171,0.582126452
pk_germstatesperson,NA,-0.00200728,0.582126452
maugahehsh,-0.180506205,2.59E-17,0.582610742
ethnic2Mixed,0.42165537,-5.24E-17,0.582714214
vidx,-0.010055142,-7.77E-16,0.582714214
maugahead import,0.160887727,-4.81E-16,0.583353913
ethnic1NIGERIAN,NA,2.97E-16,0.583420938
pk_germi don't know.,0.418544337,0.176906536,0.583420938
maugau.s. ambassador to peru,-0.012932913,7.39E-17,0.583784922
mauga1968,1.317721481,-1.51E-16,0.584327511
ethnic2Caucasian/white,1.002458279,-0.197637526,0.584825147
pk_germshe was chancellor of germany.,0.836380835,2.94E-16,0.584825147
ethnic2rtgttwtrwtr,0.550382319,-2.07E-16,0.585020789
ethnic2canada,0.174166194,3.18E-17,0.585233832
pk_germsecurity,NA,-4.77E-16,0.585233832
ethnic1Japanese,0.00684413,-7.98E-16,0.585392653
pk_germgermany__ chancellor,-0.538888495,-6.80E-16,0.585392653
mauganothing particular,NA,-0.109458769,0.586059525
pk_cjusgod,NA,0.232048896,0.586657299
ethnic1Ecuadorean,0.118617871,2.45E-16,0.586708965
pk_germco vice reporter,NA,1.66E-16,0.586708965
callout3a,-0.017069302,5.19E-17,0.587077906
online,0.039514246,0.033892145,0.587125905
pk_cjuskeyswing vote on the court,-0.045628501,-0.038228455,0.587125905
relig2b,-0.024281528,7.63E-17,0.58775205
pk_germ1983,NA,-0.068399214,0.58775205
pk_cjuscourt,-0.499267041,-4.97E-16,0.58815529
maugagovernor of mexico,-0.372124315,0.018575523,0.588372689
ethnic1American,-0.470192039,1.51E-16,0.588656546
pk_germcanceler of germany,NA,3.36E-16,0.588656546
maugagovernator samoa americana,NA,2.26E-16,0.588674378
ethnic1sweden,1.183177068,0.10264744,0.588839806
pk_germna,-0.735327569,-0.263276028,0.588839806
protest,0.070197101,-0.33576348,0.588873698
pk_cjuskefla political office,NA,-0.264935238,0.588873698
mauga lieutenant governor,-0.876141449,-0.030861411,0.589110469
maugaactor,-0.488420512,0.001353848,0.589408618
pk_cjusbxbx xbzbsbhx dhd xhxbvzbzvxx xb xx xbox,NA,0.287899216,0.59041972
selfmon6,0.022832025,-0.106795614,0.590734597
maugaamerican samoa governor,0.640407771,-2.27E-16,0.59095342
maugastate rep for georgia,3.831312508,-0.072599638,0.591768717
maugadunno,-0.254005696,5.46E-16,0.591915417
ethnic1native,-0.065073163,9.70E-16,0.592387412
pk_germhouse,-0.278636318,-8.40E-17,0.592387412
ethnic2French,0.13764738,1.88E-16,0.592745378
pk_germvery good,NA,-0.102185143,0.592745378
ethnic1Mexico,0.701133982,-1.75E-16,0.592849713
pk_germhead of germany,-0.154948635,2.45E-16,0.592849713
pk_cjusdepartment of us treasury,-0.924365551,-0.009026327,0.593610505
relig1_11_TEXTUnitarian universalist,-0.625018063,-0.326749549,0.594393842
pk_germ1000,NA,1.95E-16,0.594393842
ethnic1eastern european/italian,0.542895379,0.069937889,0.594571832
pk_germcio,NA,-4.46E-16,0.594571832
pk_cjuschief justice of the us,0.981338336,-1.37E-16,0.594802768
dtauth,-0.005288318,3.01E-16,0.594842356
pk_cjusodk,NA,0.15110529,0.594842356
pk_cjusauditor,NA,-0.049149172,0.594895705
ethnic1Irish/german,-0.763148763,-0.127640088,0.595537203
pk_germgerman prime minister,-0.240270177,-5.66E-17,0.595537203
maugapolice,1.124340579,-9.83E-17,0.595587613
pk_cjusi dont kmow,NA,-8.25E-17,0.595865216
pk_cjusabogado,NA,-2.19E-16,0.595904529
maugaparliament,0.450603072,-0.227342343,0.596817212
ethnic1very good,1.022451054,8.88E-16,0.597470992
pk_germnot sute,NA,-0.065396632,0.597470992
maugaoffice manager,0.153613887,2.78E-16,0.597523249
maugacongressperson,NA,4.01E-16,0.597646399
follow,0.019099118,0.063057314,0.598414322
pk_cjusjournalist,NA,8.36E-17,0.598414322
check,-0.021678144,-0.03124442,0.599205964
pk_cjusnot a clue,NA,0.115370643,0.599205964
ethnic2best,1.555990718,4.08E-16,0.59938326
pk_germrepresentatives,-0.306499397,0.318315375,0.59938326
maugapresident of a country,-0.940640151,-0.100632487,0.599739194
maugapresident of brazil,0.017597928,-6.23E-17,0.599954816
maugalt governor american samoa,-0.103673429,-0.071957187,0.60042567
ethnic2Cantonese,-0.999320596,8.63E-19,0.600505775
pk_germseneator,NA,0.041022282,0.600505775
ethnic1All groups,0.184104408,-1.87E-16,0.600555537
pk_germbvcdrty,NA,-0.05327688,0.600555537
ethnic2Human,-0.594385378,3.57E-16,0.600664031
hisp_4,0.041185534,-0.129849014,0.600664031
maugaheads the united nations,NA,-2.97E-16,0.601479007
ethnic1French Canadian,-0.136274619,0.129849014,0.602258371
pk_germdon't  know,-0.883089558,-0.045642132,0.602258371
maugagov of american somoa,-0.131145583,-0.072709729,0.602518008
pk_cjuschief justice by justice john paul stevn,NA,-0.03179681,0.602728637
loans1,0.014807163,-8.16E-16,0.603264804
pk_cjussenators,-0.565437862,-0.060450599,0.603264804
maugaambassador to chile,NA,4.51E-16,0.603355139
maugapolitical statute office,-0.119306416,-8.54E-17,0.603446697
ethnic2Americans,-0.48937235,-0.175084268,0.603761724
pk_germprimemintster,NA,-0.161387486,0.603761724
race1b_3,-0.474934751,0.060114131,0.603985529
knowtran2_2,-0.280016562,0.057035773,0.604882152
ethnic1German and Irish,1.473886686,0.324336775,0.604884406
pk_germdon`t know,NA,-0.149867065,0.604884406
ethnic2NO,0.322666438,-3.78E-17,0.60543347
pk_cjushead of the supreme court.,NA,-0.070525787,0.605658448
ethnic1never,0.16175644,0.014335461,0.605856929
pk_germi do not know,NA,0.007428243,0.605856929
ethnic1i am a heinz 57 when it comes to that  english welch frebch german and irish,-0.123386216,4.59E-16,0.605951541
pk_germformer prime minister,0.323465021,-6.69E-16,0.605951541
maugablue,-0.787590381,0.269974522,0.606585425
duepro2,0.034511655,0.03896172,0.606698848
ethnic1Engram,1.231848043,0.176906536,0.607223758
pk_germcvxzv,NA,-0.023917751,0.607223758
ethnic1None,0.362307888,-0.216226422,0.607763857
pk_germi like,NA,-5.99E-16,0.607763857
maugapresident of the philippines,-0.052902979,-2.64E-17,0.608610546
ethnic1Greek,-0.33715551,-7.08E-17,0.608912842
pk_germeuropean nation,NA,2.79E-17,0.608912842
maugahhs,-0.310933667,-4.24E-17,0.609704718
maugaswimmer,-0.693358777,-1.39E-16,0.609814559
pk_cjus presidente del tribunal supremo de los,NA,0.083410542,0.609969788
ethnic1Ehite,0.118955135,0.12763955,0.610090676
pk_germcong,NA,0.178675666,0.610090676
maugastreet cleaner,-0.415145805,0.22757541,0.610642461
ethnic2Nigerian,2.289434995,0.059913388,0.611340443
pk_cjuscool,3.687898629,0.126827989,0.611414518
"mauga constitutional, legal and political issues.",NA,-0.206496963,0.613417219
ftklobuchar1,-9.92E-05,0.003527813,0.613453674
pk_cjusmayor,0.02673117,5.12E-16,0.613453674
covid_elect,0.014490608,1.61E-16,0.613829366
pk_cjussecretary of state,-0.022525667,-1.76E-16,0.613829366
mauganot aware of that,NA,5.86E-14,0.614201386
pk_cjuschief justice of the scotus,0.306539166,-6.35E-17,0.614213494
ethnic2Caucasian white,0.121735502,0.10595884,0.614467238
pk_germshe served as the leader of the centre-r,NA,-0.016885267,0.614467238
ethnic2none,0.254393504,1.65E-16,0.614671998
tol_pres,-0.007491944,1.63E-16,0.615015011
pk_cjusrepublicans,NA,-0.361750884,0.615015011
transmilit1b,0.010959509,-0.206638799,0.615743535
pk_cjussenate,-0.312130668,-0.069619098,0.615743535
bsknow,0.021222284,4.98E-18,0.616029286
pk_cjuspolitics,NA,0.016748467,0.616029286
pk_cjuschief supreme court justice,0.837695127,4.82E-16,0.616258249
relig1_11_TEXTChristian born again,-0.668743895,9.82E-17,0.61631034
pk_cjustreadurer,NA,-4.51E-16,0.61631034
pk_cjusi have absolutely no idea,NA,-4.78E-16,0.617289539
maugapresident of zimbabwe,-0.590717317,4.14E-17,0.617309782
relig1_11_TEXTevangilist born again,-2.315049361,-4.46E-16,0.617386738
pk_cjusum,NA,-0.144427263,0.617386738
ethnic1hungarian,0.884897347,-7.95E-17,0.617401049
pk_germfive,5.332670599,0.19803916,0.617401049
ethnic2British,-0.09233255,-0.35219891,0.61753152
pk_germsecretery,NA,9.16E-17,0.61753152
pk_cjusdunno,-3.87061909,-2.80E-16,0.617604323
ethnic1Polish Ukranian,-0.802354385,0.106440213,0.617821052
pk_germjudge,-0.197315475,0.196392584,0.617821052
govsize2,0.014981323,1.97E-16,0.618331858
"pk_cjusprofession: judge, lawyer",NA,-3.27E-17,0.618331858
maugasenate,0.217239023,0.295028804,0.618712365
pk_cjuschief jusitice,NA,0.395797048,0.619135018
ethnic1Venezuelan,0.748987428,-1.36E-16,0.619530158
pk_germnot sure a german office,NA,0.143788123,0.619530158
mauga2013,-0.044592715,-0.085771342,0.619671762
ethnic1Yugoslavia,0.972290552,-2.76E-16,0.619929514
pk_germpolitics,NA,0.050357062,0.619929514
maugan y,NA,5.15E-16,0.620510009
maugasenator?,-0.76624691,4.13E-16,0.620791304
freemkt1b,0.03644789,2.90E-16,0.620876941
pk_cjuspresiding judge of the united states,NA,0.005399051,0.620876941
maugaking of samoa,-0.03731692,0.024400434,0.620916551
maugapoliticians,1.744326605,-0.251362437,0.620993074
ethnic1brasil,-0.335856,3.33E-17,0.622415371
pk_germchancellor of germany,-0.100942376,5.08E-17,0.622415371
maugadonal trump,0.061549738,-1.73E-16,0.622563444
maugataxes,-0.841855187,-0.006686933,0.622931596
maugaofficials,NA,2.44E-16,0.623420619
pk_cjuschief secretary of state,NA,1.37E-16,0.623455545
ftharris1,9.41E-05,0.075507052,0.624049579
pk_cjusmayer,NA,9.21E-18,0.624049579
maugadogcatcher,0.098446635,2.04E-16,0.624520503
irritated,0.013414496,0.151642278,0.625446589
pk_cjusjustice of the supreme court,0.438142855,-9.54E-17,0.625446589
ethnic1Thai,NA,3.01E-16,0.625782684
pk_germnice,NA,-1.14E-17,0.625782684
ethnic1Eastern European,1.165522818,-1.30E-16,0.6257922
pk_germchristian democratic union (cdu),NA,0.413697072,0.6257922
ethnic1white american,-0.041178927,1.57E-16,0.625896846
pk_germpm germany,0.113934531,1.02E-17,0.625896846
pk_cjusi'm not sure,NA,9.54E-17,0.625906619
maugaun sure,0.932615129,-0.075621915,0.625981549
ethnic1Cuban,0.925452178,3.16E-16,0.626385411
pk_germchanclor of germany,0.747346513,0.002836365,0.626385411
ethnic2japanese,0.226649938,-9.48E-16,0.626477695
pk_cjus_correctb,NA,0.092987337,0.626477695
ethnic1Polish/German,-0.290597859,1.63E-16,0.627309432
pk_germkjh,NA,-0.013271963,0.627309432
maugapresident of uraguay,NA,-1.24E-16,0.62749522
maugadept of health,NA,1.36E-16,0.628437539
ethnic2Mixed race,3.859955644,0.082528191,0.628643825
vidknow,0.019665541,6.23E-17,0.628643825
maugapresident?,NA,-2.44E-16,0.628712983
maugasecretary of something,-0.456496153,-0.077752494,0.629259502
ethnic2African America,1.198412197,-1.68E-16,0.629521744
pk_germpresident germany,NA,0.073438961,0.629521744
speech1,-0.02947549,5.39E-16,0.629726579
ethnic2Engish,-0.96123505,-0.143585305,0.63001784
pk_germthis is good,NA,-2.78E-17,0.63001784
maugasamoa govenor,0.71112316,-2.88E-17,0.630408791
pk_cjusboard,NA,-3.58E-16,0.630656607
pk_cjuscity council,0.953097008,-1.19E-16,0.630795247
relig1_11_TEXTMethodist,-0.645014431,0.00591786,0.630963954
pk_cjuswho,-2.582733159,0.211351827,0.630963954
ethnic1German Polish,-0.505011552,-0.118995371,0.630965488
pk_germdonal trump,NA,4.78E-16,0.630965488
maugalt governor of american samoa,-0.087270761,7.57E-16,0.631560786
ethnic2AMERICAN (USA),-1.718660249,-1.77E-16,0.631794639
pk_germprime minister england,NA,7.55E-19,0.631794639
depress3,0.001208785,0.114975829,0.632544153
maugapolitical jobs,NA,-6.00E-16,0.632820673
ethnic1venezuelan,0.188724228,-9.40E-17,0.634086011
pk_germnot sure,-0.049538059,-4.20E-17,0.634086011
maugano clue,0.142565265,8.44E-15,0.634422203
ethnic2CAUCASIAN/WHITE,0.294192581,0.002760185,0.634610212
pk_germshe__,NA,-3.00E-16,0.634610212
relig1_11_TEXTBorn Again,-0.572325713,0.109471945,0.634990142
pk_cjussupreme courts,NA,0.102615554,0.634990142
mauga1965,-0.755790707,-1.21E-17,0.635337014
pk_cjushouston texas,-0.737435104,2.66E-16,0.635651919
ethnic1Honduran,-0.489662572,0.049282942,0.636033962
pk_germfinancial,NA,-0.041271385,0.636033962
pk_cjusaaa,NA,0.044214803,0.636259975
ethnic1vebnezolan,1.050550946,-0.065965466,0.637870167
pk_germnot a clue,NA,0.010279851,0.637870167
maugagovenor of samoa,1.101814863,-0.027603524,0.638278655
mauga1922,-2.599902422,-0.013271963,0.638373373
ethnic1German,-0.13503241,-0.100980734,0.638700705
pk_germdon't remember,-0.593740862,1.11E-17,0.638700705
ethnic2French and dutch,0.979384948,-0.054040579,0.638813766
pk_germvice president,0.41475235,-1.32E-16,0.638813766
ethnic2yes. i will do this.,0.357320456,-0.041836588,0.639135021
ethnic2Care not to share,NA,-1.87E-16,0.639336719
pk_germsenit,NA,3.28E-17,0.639336719
ethnic2Emglish/Irish/Scott Irish,-0.246594255,0.013271963,0.641256847
pk_germthird cabinet,-1.876660786,1.81E-16,0.641256847
ethnic1I like all people,-1.022759469,0.252540176,0.641464725
pk_germgerman chancellor,-0.107659719,-0.004412807,0.641464725
maugapresident of his country,-0.787217742,-0.176943515,0.642000195
impact1,0.011149171,0.19803916,0.642817672
pk_germ3757,NA,1.63E-16,0.642817672
ethnic1Born Catholic of Polish heritage.,0.846363821,0.000586728,0.643124016
pk_germchancellor of germant,NA,-2.18E-16,0.643124016
ethnic2cucasian,-0.120492158,-0.042145894,0.643929431
pk_germsupreme court,-0.379458945,1.28E-16,0.643929431
pk_cjuselectrical,NA,0.087271064,0.643944704
ethnic2Armenian,1.065278685,-6.33E-17,0.644611736
pk_germprine minister gernany,-1.270144742,4.30E-16,0.644611736
ethnic2German/Irish/Italian,-0.065976336,0.196045687,0.645990378
pk_germyes,NA,-1.36E-16,0.645990378
pk_cjusis a chief justice of the supreme court,NA,1.99E-16,0.646661088
maugaspeaker of the house,0.425473159,0.037324866,0.647342945
maugapizza man,-0.134254794,0.248865131,0.647344248
pk_cjushead of fbi,-1.394117274,1.70E-17,0.647370123
ethnic1Scottish,0.040804848,-2.70E-17,0.647561295
pk_germmanager,NA,5.26E-16,0.647561295
ethnic2PUERTO RICAN,2.696933876,-0.112701284,0.647582672
maugalinguist,0.317166751,-3.95E-16,0.647683467
ethnic1English Italian,-1.11489011,-8.40E-17,0.64784927
pk_germconsoler of germany,-0.119171456,-0.08953802,0.64784927
ethnic1I am African American and Native American,-0.482862707,-1.44E-16,0.648152002
pk_germfrance prime minister,0.092366715,0.158758974,0.648152002
pk_cjus1984,NA,0.007993453,0.648383217
ethnic2Hispanic/mexican,NA,4.05E-16,0.648456813
blacks_5,-0.029063854,0.066510384,0.648456813
groupid2b_bla,0.261346491,-0.137247899,0.648490456
ethnic2AFRICAN AMERICAN,0.490329251,-9.22E-17,0.648993311
pk_germpresident oh germany,0.215846618,8.13E-16,0.648993311
maugasenator,-0.080337902,-1.38E-16,0.649005119
ethnic1sdfsdfsdfs,0.508582366,-0.173821468,0.649473283
pk_germmay we,NA,2.89E-16,0.649473283
ethnic2Canadian french,0.600951208,0.197581576,0.649580491
pk_germsenator,-0.090855591,6.02E-16,0.649580491
ethnic2White American,-3.085387066,0.10167385,0.649775796
dtdiv,-0.008755831,-8.45E-17,0.64982792
pk_cjusoffice of the treasurer,NA,1.15E-17,0.64982792
ethnic2Norwegian,0.26878484,-2.86E-16,0.651024736
ethnic2Cuban of Euro-Spaniard Descent,0.374873291,-1.37E-15,0.65170657
pk_germsuperior court,NA,0.106440213,0.65170657
pk_cjuschief justice of the supriem court,-0.36315372,0.100462102,0.65182953
maugahr manager,NA,0.062243959,0.652988351
maugasecretary of defense,0.022034894,1.78E-16,0.65381425
ethnic2American caucasian,0.118176338,-4.30E-17,0.654970855
pk_germprime minister germany,0.201475575,-3.21E-17,0.654970855
maugaemperor,NA,-1.37E-16,0.655638813
race1a_3,-6.621076881,1.55E-16,0.656145262
maugaspeaker,NA,3.87E-17,0.656324308
maugagovener,2.972009199,-0.150931247,0.656867075
maugadnk,0.327930418,-0.208647481,0.657171291
ethnic1S,NA,-6.85E-17,0.657304477
pk_germleader of the free world     german chan,1.187701019,-0.12243237,0.657304477
ethnic2Chinese-American,0.143727422,-0.084926921,0.657704279
pk_germspeaker,-1.029104152,-0.026085182,0.657704279
relig1_11_TEXTNon denominational,-0.317886387,0.121101342,0.657726632
pk_cjusyes,NA,-1.37E-16,0.657726632
rural3,0.012203452,-2.61E-15,0.65805298
pk_cjussup ct,-0.879701008,-1.74E-16,0.65805298
maugapresident of somolia,NA,-0.078724273,0.658156269
ethnic2Indian,NA,1.18E-15,0.658339137
survexp1,0.000452762,-2.15E-16,0.658339137
ethnic1Irish German,-1.03230833,3.54E-17,0.658738478
pk_germgerman lrime minister,NA,3.68E-16,0.658738478
maugapost office,-1.793413739,-0.119852725,0.658986212
groupid2a_nat,-1.52009894,4.00E-17,0.659454254
maugajkbnmbnmbnbmn,NA,-0.104360873,0.659969236
ethnic1Scotch Irish,-0.396155615,-0.114975829,0.660222004
pk_germlike,NA,-7.89E-17,0.660222004
maugau n president,NA,7.07E-17,0.660265144
"ethnic2English, Irish, Scottish, Welsh, German, French, Norwegian and Micmac",0.094839767,1.70E-17,0.660330224
pk_germtrustee,-0.809840996,-3.57E-16,0.660330224
maugaprime minister of venezuela,-0.58245311,-2.44E-16,0.660984128
ethnic1Islander,6.379549491,-0.040469557,0.661481906
pk_germgerman something,NA,5.32E-17,0.661481906
"ethnic1Latina, Puerto Rican, Polish",0.590725393,-3.21E-17,0.662100305
pk_germgovenor,-0.825580033,0.117292986,0.662100305
maugagovern,-0.043047842,-2.57E-17,0.662186285
ethnic2Mex,1.704781329,-2.09E-16,0.662206514
race1_asian,NA,-1.02E-17,0.662206514
maugaxxx,0.14943274,-7.11E-17,0.662226101
moralcert2,0.036921464,0.023631068,0.662441679
pk_cjusdon__ cate,0.348185212,-0.038228455,0.662657717
maugahouse rep,NA,-0.252635143,0.663263302
relig1_11_TEXTSpiritualist,-0.289996385,0.150120524,0.664153857
pk_germ100,NA,5.13E-16,0.664153857
femid1b,0.045791849,-1.25E-17,0.664946596
maugaasd,-0.55175273,-1.27E-16,0.664962345
dtcares,0.013328853,0.088324148,0.665133642
pk_cjusnothing,0.25890476,0.139085351,0.665133642
pk_cjusexecutive,NA,0.030447149,0.665268992
pk_cjusdon't know what this,NA,-7.92E-18,0.665335302
maugapresident of kenya,0.958467488,-2.48E-16,0.665376196
pk_cjusgovernor,0.159176568,-1.48E-16,0.666290746
ethnic2Irish/Swedish,1.210350909,2.79E-17,0.666352625
surv_comp,-0.008669428,-2.30E-16,0.666352625
ethnic2Salvadorian,-0.493447669,-3.14E-16,0.666471319
pk_cjusgdfgd,NA,2.44E-16,0.666662663
relig1_11_TEXTspiritual,0.528798322,-3.66E-16,0.666786723
pk_germ?????,-0.303493413,1.35E-16,0.666786723
"ethnic2german, irish,with a spot of duch",NA,0.122476037,0.666929393
pk_germxfvcx,NA,-2.00E-16,0.666929393
ethnic1English and Irish,-0.866724196,3.13E-16,0.667192766
pk_germcongresswoman,0.091410998,-9.22E-18,0.667192766
"ethnic2Caucasan, Native American",-0.296158816,-4.93E-17,0.667364815
pk_germsenitor,NA,3.28E-17,0.667364815
ethnic1I am a my main ethnic group American.,-1.483716458,-2.00E-16,0.667507039
pk_germformer prime minister of germany,0.043836947,-0.03248998,0.667507039
pk_cjuschief justice of the federation,2.456689404,-0.072018891,0.66769716
maugapresident of malawi,-0.594775971,1.06E-17,0.669321478
transmilit1a,-0.037641326,4.91E-16,0.669705077
pk_cjussenat,-2.230712635,0.102785334,0.669705077
maugarepublic,NA,2.12E-16,0.669822118
ethnic1I just want this to end already...,-0.627990827,-0.038751742,0.669882275
pk_germgerman cancelore,NA,2.60E-16,0.669882275
viol3_reps,-0.008863296,-5.88E-16,0.669945361
maugahouse of representive,NA,2.75E-16,0.670447236
ethnic1native american,3.906817847,-7.48E-16,0.670853628
pk_germhouse of representatives,NA,0.014492501,0.670853628
ethnic2Italian,-0.022375044,3.16E-16,0.6708698
income,NA,-3.59E-17,0.6708698
"ethnic2Finnish. Swedish, Irish, English, French Canadian, German, a Northwest European-American mutt",-0.080823883,-0.299252497,0.672617547
pk_germus,NA,0.10264744,0.672617547
maugafederal judge,-0.59928237,-0.044627962,0.672758266
pk_cjusassociate justice of the supreme court,1.107131126,-6.09E-16,0.673726533
ethnic2asian,-0.369706792,-0.063057314,0.673791969
pk_germpriss,NA,-3.93E-16,0.673791969
maugapresident,0.024859409,-6.61E-16,0.673916034
ethnic2Italian/Irish American,1.439532461,2.30E-16,0.673970506
pk_sen_correct,0.017138386,-0.178675666,0.673970506
ethnic1English ancestry,-0.566839357,1.16E-16,0.674078862
pk_germcongressional representative,-0.450967381,-0.035673592,0.674078862
"ethnic1Greek, Irish, Dutch",0.130992279,0.064043787,0.674282488
pk_germeuropean union president,NA,-3.47E-18,0.674282488
ethnic2White....Irish,1.635258488,-1.18E-16,0.675411044
relig1_11_TEXTBaptist,-0.129382233,-2.79E-16,0.676719755
pk_cjussupreme court majortiy,1.838713071,9.14E-17,0.676719755
mauga1788,0.225301782,-3.13E-16,0.677299111
